,Airport Name,Country,City,Latitude,Longitude
AAQ,Vityazevo,Russian Federation,Anapa,45.002097,37.347272
AAA,Anaa,French Polynesia,Anaa,-17.355,-145.508333
AAB,Arrabury,Australia,Arrabury,-26.690556,141.0475
AAC,Al Arish International Airport,Egypt,Al Arish,31.073333,33.835833
AAD,Ad-Dabbah,Sudan,Ad-Dabbah,17.592777777778,33.959166666667
AAE,Les Salines,Algeria,Annaba,36.822222,7.809444
AAF,Municipal,United States,Apalachicola,29.727607,-85.027442
AAG,Arapoti,Brazil,Arapoti,-24.103875,-49.789078
AAH,Aachen/Merzbruck,Germany,Aachen,50.823056,6.186111
AAI,Arraias,Brazil,Arraias,-13.025,-46.884
AAJ,Cayana Airstrip,Suriname,Awaradam,3.898611,-55.577778
AAK,Aranuka,Kiribati,Aranuka,0.185278,173.636667
AAL,Aalborg,Denmark,Aalborg,57.092789,9.849164
AAM,Mala Mala,South Africa,Mala Mala,-24.818111,31.544584
AAN,Al Ain,United Arab Emirates,Al Ain,24.261667,55.609167
AAO,Anaco,Venezuela,Anaco,9.430225,-64.470725
AAP,Andrau Airpark,United States,"Houston, TX",72.886944,-55.596111
AAR,Aarhus Airport,Denmark,Aarhus,56.300017,10.619008
AAS,Apalapsili,Indonesia,Apalapsili,-3.883,139.283
AAT,Altay,China,Altay,47.749,88.089
AAU,Asau,Samoa,Asau,-13.505778,-172.627972
AAV,Allah Valley,Philippines,Surallah,6.366817,124.751294
AAW,Abbottabad,Pakistan,Abbottabad,34.15,73.217
AAX,Araxa,Brazil,Araxa,-19.563247,-46.960358
AAY,Al Ghaydah,Yemen,Al Ghaydah,16.191666,52.175
AAZ,Ambriz,Angola,Ambriz,14.86555,-91.501981
ABA,Abakan,Russian Federation,Abakan,53.74,91.385
ABB,RAF Station,United Kingdom,Abingdon,51.690556,-1.316667
ABC,Los Llanos,Spain,Albacete,38.948528,-1.863517
ABD,Abadan,Iran,Abadan,30.371111,48.228333
ABF,Abaiang,Kiribati,Abaiang,1.798611,173.040556
ABG,Abingdon,Australia,Abingdon,-17.617,143.167
ABH,Alpha,Australia,Alpha,-23.646111,146.583611
ABI,Municipal,United States,Abilene,32.411306,-99.681889
ABJ,Felix Houphouet Boigny,Cote D&#039;Ivoire,Abidjan,5.261386,-3.926294
ABK,Kabri Dar,Ethiopia,Kabri Dar,6.734,44.253
ABL,Ambler,United States,Ambler,67.106314,-157.857472
ABM,Bamaga Injinoo,Australia,"Bamaga, Queensland",-10.950833,142.459444
ABN,Albina,Suriname,Albina,5.513,-54.05
ABO,Aboisso,Cote D&#039;Ivoire,Aboisso,5.433,-3.267
ABP,Atkamba,Papua New Guinea,Atkamba,-6.05,141.083
ABQ,Albuquerque International,United States,Albuquerque,35.040194,-106.609194
ABR,Municipal,United States,Aberdeen,45.449056,-98.421833
ABS,Abu Simbel,Egypt,Abu Simbel,22.375953,31.611722
ABT,Al-Aqiq,Saudi Arabia,Al-Baha,20.296139,41.634277
ABU,Atambua,Indonesia,Atambua,-9.074444,124.904444
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja,9.006792,7.263172
ABW,Abau,Papua New Guinea,Abau,-10.2,148.733
ABX,Albury,Australia,Albury,-36.067778,146.958056
ABY,Dougherty County,United States,Albany,31.535515,-84.194473
ABZ,Dyce,United Kingdom,Aberdeen,57.201944,-2.197778
ACB,Antrim County,United States,Bellaire,44.988576,-85.198355
ACC,Kotoka,Ghana,Accra,5.605186,-0.166786
ACD,Acandi,Colombia,Acandi,8.5,-73.633
ACE,Lanzarote,Spain,Arrecife,28.945464,-13.605225
ACH,Altenrhein,Switzerland,Altenrhein,47.485033,9.560775
ACI,The Blaye,United Kingdom,Alderney,49.706111,-2.214722
ACJ,Anuradhapura,Sri Lanka,Anuradhapura,32.110799,-84.188848
ACK,Nantucket Memorial,United States,Nantucket,41.253111,-70.060306
ACL,Aguaclara,Colombia,Aguaclara,4.749,-72.994
ACM,Arica,Colombia,Arica,-2.133,-71.783
ACN,International,Mexico,Ciudad Acuna,29.333917,-101.100892
ACO,Ascona,Switzerland,Ascona,46.157778,8.781944
ACP,Sahand,Iran,Sahand,37.348017,46.127903
ACR,Araracuara,Colombia,Araracuara,-0.601111,-72.397778
ACS,Achinsk,Russian Federation,Achinsk,56.268333,90.570833
ACT,Municipal,United States,Waco,31.6117,-97.230284
ACU,Achutupo,Panama,Achutupo,9.183,-78.017
ACV,Arcata,United States,Arcata,40.978111,-124.108611
ACX,Xingyi,China,Xingyi,25.155,104.971
ACY,Atlantic City Intl,United States,Atlantic City,39.457583,-74.577167
ACZ,Zabol A/P,Iran,Zabol,31.098333,61.543889
ADA,Adana,Turkey,Adana,36.982166,35.280388
ADB,Adnan Menderes,Turkey,Izmir,38.292392,27.156953
ADC,Andakombe,Papua New Guinea,Andakombe,46.45027,-95.210955
ADD,Bole International,Ethiopia,Addis Ababa,8.977889,38.799319
ADE,International,Yemen,Aden,12.829542,45.028792
ADF,Adiyaman,Turkey,Adiyaman,37.731369,38.468936
ADG,Lenawee County,United States,Adrian,41.867674,-84.077306
ADH,Aldan,Russian Federation,Aldan,58.602778,125.408889
ADI,Arandis,Namibia,Arandis,-22.462223,14.98
ADJ,Marka International Airport,Jordan,Amman,31.972703,35.991569
ADK,Adak Island NS,United States,Adak Island,51.877964,-176.646031
ADL,Adelaide International Airport,Australia,Adelaide,-34.945,138.530556
